u,v,weight,weight_norm
chsigg,Moerafaat,1.0,0.25
mwhittaker,tensorflower-gardener,2.0,0.5
mwhittaker,Tixxx,3.0,0.75
shawnwang18,ermilovmaxim,1.0,0.25
shawnwang18,beckerhe,2.0,0.5
WillFroom,pifon2a,2.0,0.5
WillFroom,basioli-k,1.0,0.25
WillFroom,Moerafaat,1.0,0.25
nvgrw,EusebioDM,1.0,0.25
nvgrw,tensorflower-gardener,4.0,1.0
Moerafaat,basioli-k,1.0,0.25
Tixxx,tensorflower-gardener,1.0,0.25
majnemer,tensorflower-gardener,3.0,0.75
loislo,apivovarov,1.0,0.25
tensorflower-gardener,EusebioDM,1.0,0.25
ermilovmaxim,beckerhe,1.0,0.25
beckerhe,EusebioDM,1.0,0.25
beckerhe,akuegel,1.0,0.25
GleasonK,mrguenther,1.0,0.25
EusebioDM,akuegel,1.0,0.25
