u_idx,v_idx,u,v,score
9,22,akuegel,Moerafaat,0.9950873255729675
9,19,akuegel,WillFroom,0.9902729392051697
2,20,loislo,EusebioDM,0.9896219968795776
20,22,EusebioDM,Moerafaat,0.9893739819526672
0,9,basioli-k,akuegel,0.9893730282783508
19,20,WillFroom,EusebioDM,0.9808680415153503
2,22,loislo,Moerafaat,0.9800138473510742
34,48,tensorflower-gardener,allanrenucci,0.979985237121582
34,44,tensorflower-gardener,ermilovmaxim,0.9797978401184082
0,20,basioli-k,EusebioDM,0.9795260429382324
17,19,chsigg,WillFroom,0.9771674275398254
9,17,akuegel,chsigg,0.9764097929000854
0,17,basioli-k,chsigg,0.9748930931091309
2,19,loislo,WillFroom,0.9674591422080994
0,2,basioli-k,loislo,0.9652347564697266
22,41,Moerafaat,beckerhe,0.963635265827179
1,22,ybaturina,Moerafaat,0.9629908800125122
17,20,chsigg,EusebioDM,0.9575029015541077
1,20,ybaturina,EusebioDM,0.9460428357124329
1,19,ybaturina,WillFroom,0.9456703066825867
19,41,WillFroom,beckerhe,0.9434959888458252
0,1,basioli-k,ybaturina,0.9420648813247681
0,41,basioli-k,beckerhe,0.9414421319961548
2,17,loislo,chsigg,0.9401575922966003
22,50,Moerafaat,apivovarov,0.9390560388565063
12,22,pifon2a,Moerafaat,0.9359933137893677
4,30,pkanwar23,Tixxx,0.9289166927337646
4,16,pkanwar23,mwhittaker,0.9289166927337646
30,47,Tixxx,nvgrw,0.9289166927337646
16,47,mwhittaker,nvgrw,0.9289166927337646
9,50,akuegel,apivovarov,0.9251556992530823
20,29,EusebioDM,shawnwang18,0.9221327900886536
1,17,ybaturina,chsigg,0.9179629683494568
19,50,WillFroom,apivovarov,0.9169927835464478
1,2,ybaturina,loislo,0.9153771996498108
9,29,akuegel,shawnwang18,0.9127340316772461
0,50,basioli-k,apivovarov,0.9122856259346008
0,12,basioli-k,pifon2a,0.9087640047073364
29,34,shawnwang18,tensorflower-gardener,0.9082497358322144
44,47,ermilovmaxim,nvgrw,0.9061835408210754
4,44,pkanwar23,ermilovmaxim,0.9061835408210754
47,48,nvgrw,allanrenucci,0.9043409824371338
4,48,pkanwar23,allanrenucci,0.9043409824371338
1,41,ybaturina,beckerhe,0.8975878953933716
20,50,EusebioDM,apivovarov,0.8946545124053955
33,34,majnemer,tensorflower-gardener,0.8903701305389404
18,34,belitskiy,tensorflower-gardener,0.8903701305389404
17,41,chsigg,beckerhe,0.8884844183921814
12,17,pifon2a,chsigg,0.8880950212478638
17,50,chsigg,apivovarov,0.8866425156593323
